participant_id,perturbation_id,type,repetition,duration_responses,pre_responses_in_block,recovery_responses,recovery_bins,rewards_during
sim-participant-001,pert_01_extinction,extinction,1,8,34,158,15,0
sim-participant-001,pert_02_extinction,extinction,2,8,62,130,13,0
sim-participant-001,pert_03_extinction,extinction,3,8,48,144,14,0
sim-participant-001,pert_04_extinction,extinction,4,8,47,145,14,0
sim-participant-001,pert_05_contingency_reversal,contingency_reversal,1,8,126,66,6,1
sim-participant-001,pert_06_contingency_reversal,contingency_reversal,2,8,154,38,3,1
sim-participant-001,pert_07_contingency_reversal,contingency_reversal,3,8,147,45,4,1
sim-participant-001,pert_08_contingency_reversal,contingency_reversal,4,8,131,61,6,2
sim-participant-002,pert_01_contingency_reversal,contingency_reversal,1,8,56,136,13,0
sim-participant-002,pert_02_contingency_reversal,contingency_reversal,2,8,33,159,15,0
sim-participant-002,pert_03_contingency_reversal,contingency_reversal,3,8,25,167,16,1
sim-participant-002,pert_04_extinction,extinction,1,8,40,152,15,0
sim-participant-002,pert_05_extinction,extinction,2,8,146,46,4,0
sim-participant-002,pert_06_extinction,extinction,3,8,147,45,4,0
sim-participant-002,pert_07_extinction,extinction,4,8,145,47,4,0
sim-participant-002,pert_08_contingency_reversal,contingency_reversal,4,8,142,50,5,0
sim-participant-003,pert_01_contingency_reversal,contingency_reversal,1,8,55,137,13,1
sim-participant-003,pert_02_extinction,extinction,1,8,57,135,13,0
sim-participant-003,pert_03_contingency_reversal,contingency_reversal,2,8,57,135,13,3
sim-participant-003,pert_04_extinction,extinction,2,8,56,136,13,0
sim-participant-003,pert_05_extinction,extinction,3,8,143,49,4,0
sim-participant-003,pert_06_contingency_reversal,contingency_reversal,3,8,139,53,5,3
sim-participant-003,pert_07_extinction,extinction,4,8,148,44,4,0
sim-participant-003,pert_08_contingency_reversal,contingency_reversal,4,8,159,33,3,0
sim-participant-004,pert_01_extinction,extinction,1,8,60,132,13,0
sim-participant-004,pert_02_extinction,extinction,2,8,58,134,13,0
sim-participant-004,pert_03_contingency_reversal,contingency_reversal,1,8,50,142,14,3
sim-participant-004,pert_04_contingency_reversal,contingency_reversal,2,8,62,130,13,1
sim-participant-004,pert_05_contingency_reversal,contingency_reversal,3,8,155,37,3,1
sim-participant-004,pert_06_contingency_reversal,contingency_reversal,4,8,140,52,5,1
sim-participant-004,pert_07_extinction,extinction,3,8,140,52,5,0
sim-participant-004,pert_08_extinction,extinction,4,8,149,43,4,0
sim-participant-005,pert_01_contingency_reversal,contingency_reversal,1,8,58,134,13,1
sim-participant-005,pert_02_extinction,extinction,1,8,50,142,14,0
sim-participant-005,pert_03_extinction,extinction,2,8,26,166,16,0
sim-participant-005,pert_04_extinction,extinction,3,8,43,149,14,0
sim-participant-005,pert_05_contingency_reversal,contingency_reversal,2,8,152,40,4,1
sim-participant-005,pert_06_extinction,extinction,4,8,131,61,6,0
sim-participant-005,pert_07_contingency_reversal,contingency_reversal,3,8,134,58,5,2
sim-participant-005,pert_08_contingency_reversal,contingency_reversal,4,8,132,60,6,0
sim-participant-006,pert_01_contingency_reversal,contingency_reversal,1,8,35,157,15,0
sim-participant-006,pert_02_contingency_reversal,contingency_reversal,2,8,45,147,14,1
sim-participant-006,pert_03_contingency_reversal,contingency_reversal,3,8,59,133,13,3
sim-participant-006,pert_04_extinction,extinction,1,8,44,148,14,0
sim-participant-006,pert_05_extinction,extinction,2,8,154,38,3,0
sim-participant-006,pert_06_extinction,extinction,3,8,143,49,4,0
sim-participant-006,pert_07_extinction,extinction,4,8,143,49,4,0
sim-participant-006,pert_08_contingency_reversal,contingency_reversal,4,8,129,63,6,1
sim-participant-007,pert_01_contingency_reversal,contingency_reversal,1,8,32,160,16,1
sim-participant-007,pert_02_extinction,extinction,1,8,42,150,15,0
sim-participant-007,pert_03_extinction,extinction,2,8,45,147,14,0
sim-participant-007,pert_04_extinction,extinction,3,8,34,158,15,0
sim-participant-007,pert_05_contingency_reversal,contingency_reversal,2,8,147,45,4,2
sim-participant-007,pert_06_contingency_reversal,contingency_reversal,3,8,158,34,3,1
sim-participant-007,pert_07_contingency_reversal,contingency_reversal,4,8,162,30,3,0
sim-participant-007,pert_08_extinction,extinction,4,8,150,42,4,0
sim-participant-008,pert_01_extinction,extinction,1,8,25,167,16,0
sim-participant-008,pert_02_extinction,extinction,2,8,33,159,15,0
sim-participant-008,pert_03_extinction,extinction,3,8,52,140,14,0
sim-participant-008,pert_04_extinction,extinction,4,8,53,139,13,0
sim-participant-008,pert_05_contingency_reversal,contingency_reversal,1,8,147,45,4,2
sim-participant-008,pert_06_contingency_reversal,contingency_reversal,2,8,148,44,4,1
sim-participant-008,pert_07_contingency_reversal,contingency_reversal,3,8,152,40,4,1
sim-participant-008,pert_08_contingency_reversal,contingency_reversal,4,8,160,32,3,0
sim-participant-009,pert_01_contingency_reversal,contingency_reversal,1,8,39,153,15,3
sim-participant-009,pert_02_extinction,extinction,1,8,26,166,16,0
sim-participant-009,pert_03_contingency_reversal,contingency_reversal,2,8,57,135,13,1
sim-participant-009,pert_04_contingency_reversal,contingency_reversal,3,8,40,152,15,2
sim-participant-009,pert_05_extinction,extinction,2,8,134,58,5,0
sim-participant-009,pert_06_contingency_reversal,contingency_reversal,4,8,134,58,5,3
sim-participant-009,pert_07_extinction,extinction,3,8,142,50,5,0
sim-participant-009,pert_08_extinction,extinction,4,8,133,59,5,0
sim-participant-010,pert_01_contingency_reversal,contingency_reversal,1,8,48,144,14,1
sim-participant-010,pert_02_extinction,extinction,1,8,55,137,13,0
sim-participant-010,pert_03_contingency_reversal,contingency_reversal,2,8,30,162,16,2
sim-participant-010,pert_04_extinction,extinction,2,8,42,150,15,0
sim-participant-010,pert_05_contingency_reversal,contingency_reversal,3,8,134,58,5,1
sim-participant-010,pert_06_contingency_reversal,contingency_reversal,4,8,133,59,5,3
sim-participant-010,pert_07_extinction,extinction,3,8,135,57,5,0
sim-participant-010,pert_08_extinction,extinction,4,8,159,33,3,0
