participant_id,fitted,n_transitions,skill_A_i,skill_A_ic,ridge_alpha,spectral_radius,lambda1_real,lambda1_imag,lambda2_mag,complex_pair,dominant_feature,half_life_bins,oscillation_period_bins,loading_choice_prop_A,loading_reward_rate,loading_switch_rate
5f89a35824bee7076b6d536c,True,375,0.48941527101221105,0.503041162765828,0.01,0.1222435193909006,0.1222435193909006,0.0,0.10160767755573387,True,P(A),0.3297968001530663,,-0.9917371917335769,0.07556613956202995,-0.10366822601014447
60324e0d654dbd21e0e7fa2d,True,375,0.4381872619437239,0.4614829065612478,10.0,0.5069228093677863,0.5069228093677863,0.0,0.15368855100164716,False,switch rate,1.0202394964742114,,0.001581266189166819,-0.012123309399139134,0.999925259690169
681b781064a5701a5ceee3bc,True,375,0.5509208296586037,0.5684278164136817,10.0,0.11516234521669957,-0.11516234521669957,0.0,0.05676447866949744,False,reward rate,0.32069176848312636,,-0.3535783721951667,-0.8281179431475194,0.4349747199009825
697aa4b8d2b6c1b3b9d7ae2c,True,375,0.4234741055016652,0.4148761739882417,0.01,0.4761630797106576,0.4761630797106576,0.0,0.41522671515563375,False,switch rate,0.9341670679742821,,0.2913791355387724,0.2706928891231185,0.9175094327312701
698078075d3326e1b30bd1c3,True,375,0.5395780276756811,0.5228725146095126,10.0,0.29195105924317033,0.29195105924317033,0.0,0.19814632446770028,True,P(A),0.5629991710803104,,-0.9977442592342483,-0.02509438138365362,0.06226287166580924
699b19eb2744be8e2c9e73ed,True,375,0.31585298427686104,0.320069795295702,10.0,0.6417317840533519,0.6417317840533519,0.0,0.27081744004321817,False,P(A),1.5626033875024308,,0.9980428716194342,0.06053565069562025,-0.015679968255438246
69ab872f2dc6e02760face50,True,375,0.4293493637303909,0.40087437354242683,10.0,0.5015992338164584,0.5015992338164584,0.0,0.17360789125024262,True,P(A),1.004628372706774,,0.9626062744724988,0.24886650402681118,0.10702627490317261
69ed0ecd116ddecaafd2d726,True,375,0.40742782577040504,0.40192675045619797,10.0,0.16337151318703236,0.11845308837409761,-0.11251274228130302,0.16337151318703236,True,reward rate,0.38258889222153725,8.270785339394722,0.10730360552801636,0.888857882231631,0.4454409067826933
6a17230d60e2a318a8073ab6,True,375,0.49511329633343315,0.5081366681138311,10.0,0.12697438732971156,0.12697438732971156,0.0,0.11570993354548993,False,P(A),0.3358645674506443,,0.8470978508852451,0.45901175751531553,0.26783098679633804
6a19b14498b3d36bccc467cb,True,375,0.3047272222616577,0.29268063835478675,0.01,0.7769615309809402,0.7769615309809402,0.0,0.481260379142252,False,switch rate,2.7466119310869694,,0.34347544308250444,0.20666832280698144,0.9161401772367734
6a1e249fc87cc5282b9262b3,True,375,0.5737501090378552,0.6027939493897603,10.0,0.2535971488780925,-0.20919257293244925,-0.14335264681546456,0.2535971488780925,True,reward rate,0.5052062593400378,2.472893175144021,-0.03953354189189789,0.8633234674869805,-0.5031000790615501
6a43a2cd49feba211cdecf86,True,375,0.5049924415602827,0.5440764272402294,10.0,0.18412795393351522,0.18412795393351522,0.0,0.059059095483556194,False,switch rate,0.4096313465115825,,-0.07915696914416641,0.5849461788978291,0.8072001870841821
6a4407786c0afee02f74e0d0,True,375,0.5591534544209124,0.5960063228914116,10.0,0.3015239846801941,-0.3015239846801941,0.0,0.03704932538550622,False,reward rate,0.578149867836015,,0.48446092262752977,0.8279296986540536,-0.28254208276554255
