participant_id,prolific_pid,study_id,session_id,experiment_version,is_test,arm,timestamp_utc,elapsed_ms,response_time_ms,trial_index,context_index,trial_in_context,context_color,target_index,target_label,alternatives,target_position,chosen_position,chosen_index,chosen_label,correct,rewarded,points_total,error_disparity,match_shape,match_size,match_orientation,match_hue,navail_shape,navail_size,navail_orientation,navail_hue,advanced_after
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:36.785+00,15596,644,15,1,4,#4A2C4D,13,square|large|vertical|orange,"{2,13,5,0}",1,1,13,square|large|vertical|orange,1,1,15,0,1,1,1,1,2,3,2,1,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:37.976+00,16787,839,16,1,5,#4A2C4D,13,square|large|vertical|orange,"{13,2,9,3}",0,0,13,square|large|vertical|orange,1,1,16,0,1,1,1,1,3,2,1,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:39.168+00,17979,840,17,1,6,#4A2C4D,13,square|large|vertical|orange,"{0,9,13,6}",2,2,13,square|large|vertical|orange,1,1,17,0,1,1,1,1,2,3,2,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:40.229+00,19041,710,18,1,7,#4A2C4D,13,square|large|vertical|orange,"{13,15,2,3}",0,0,13,square|large|vertical|orange,1,1,18,0,1,1,1,1,3,1,2,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:41.309+00,20121,729,19,1,8,#4A2C4D,13,square|large|vertical|orange,"{10,1,14,13}",3,3,13,square|large|vertical|orange,1,1,19,0,1,1,1,1,2,2,2,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:42.243+00,21054,582,20,1,9,#4A2C4D,13,square|large|vertical|orange,"{8,7,4,13}",3,3,13,square|large|vertical|orange,1,1,20,0,1,1,1,1,2,3,3,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:43.301+00,22112,707,21,1,10,#4A2C4D,13,square|large|vertical|orange,"{4,15,13,10}",2,2,13,square|large|vertical|orange,1,1,21,0,1,1,1,1,2,2,3,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:44.335+00,23146,682,22,1,11,#4A2C4D,13,square|large|vertical|orange,"{13,0,4,5}",0,0,13,square|large|vertical|orange,1,1,22,0,1,1,1,1,2,4,3,1,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:45.451+00,24262,765,23,1,12,#4A2C4D,13,square|large|vertical|orange,"{6,7,2,13}",3,3,13,square|large|vertical|orange,1,1,23,0,1,1,1,1,2,1,3,1,criterion
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:46.734+00,25546,932,24,2,1,#1E4438,2,circle|small|horizontal|blue,"{3,11,5,2}",3,1,11,square|small|horizontal|orange,0,0,23,2,0,1,1,0,1,3,3,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:47.893+00,26704,807,25,2,2,#1E4438,2,circle|small|horizontal|blue,"{3,12,2,10}",2,1,12,circle|large|vertical|orange,0,0,23,3,1,0,0,0,3,3,3,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:48.868+00,27679,624,26,2,3,#1E4438,2,circle|small|horizontal|blue,"{2,6,5,12}",0,1,6,circle|small|vertical|blue,0,0,23,1,1,1,0,1,3,2,1,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:50.101+00,28912,881,27,2,4,#1E4438,2,circle|small|horizontal|blue,"{3,6,2,4}",2,1,6,circle|small|vertical|blue,0,0,23,1,1,1,0,1,3,3,2,4,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:50.851+00,29663,399,28,2,5,#1E4438,2,circle|small|horizontal|blue,"{3,2,7,15}",1,0,3,square|small|horizontal|blue,0,0,23,1,0,1,1,1,1,4,2,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:51.943+00,30754,741,29,2,6,#1E4438,2,circle|small|horizontal|blue,"{2,8,0,5}",0,0,2,circle|small|horizontal|blue,1,1,24,0,1,1,1,1,3,1,3,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:52.918+00,31729,624,30,2,7,#1E4438,2,circle|small|horizontal|blue,"{2,11,4,12}",0,0,2,circle|small|horizontal|blue,1,1,25,0,1,1,1,1,3,2,2,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:53.876+00,32688,607,31,2,8,#1E4438,2,circle|small|horizontal|blue,"{8,7,2,12}",2,2,2,circle|small|horizontal|blue,1,1,26,0,1,1,1,1,3,2,2,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:54.993+00,33804,766,32,2,9,#1E4438,2,circle|small|horizontal|blue,"{0,9,2,14}",2,2,2,circle|small|horizontal|blue,1,1,27,0,1,1,1,1,3,2,3,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:55.879+00,34691,535,33,2,10,#1E4438,2,circle|small|horizontal|blue,"{15,4,2,0}",2,2,2,circle|small|horizontal|blue,1,1,28,0,1,1,1,1,3,2,2,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:56.926+00,35738,694,34,2,11,#1E4438,2,circle|small|horizontal|blue,"{9,6,10,2}",3,3,2,circle|small|horizontal|blue,1,1,29,0,1,1,1,1,3,3,3,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:57.893+00,36704,615,35,2,12,#1E4438,2,circle|small|horizontal|blue,"{14,15,2,4}",2,2,2,circle|small|horizontal|blue,1,1,30,0,1,1,1,1,3,3,1,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:51:58.926+00,37738,681,36,2,13,#1E4438,2,circle|small|horizontal|blue,"{7,2,4,6}",1,3,6,circle|small|vertical|blue,0,0,30,1,1,1,0,1,3,3,1,4,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:00.035+00,38846,757,37,2,14,#1E4438,2,circle|small|horizontal|blue,"{7,2,5,11}",1,1,2,circle|small|horizontal|blue,1,1,31,0,1,1,1,1,1,3,2,3,criterion
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:01.801+00,40612,1415,38,3,1,#5A3A1E,14,circle|small|vertical|orange,"{15,9,8,14}",3,0,15,square|small|vertical|orange,0,0,31,1,0,1,1,1,2,2,2,4,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:02.777+00,41588,624,39,3,2,#5A3A1E,14,circle|small|vertical|orange,"{14,7,5,6}",0,0,14,circle|small|vertical|orange,1,1,32,0,1,1,1,1,2,3,4,1,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:03.851+00,42662,716,40,3,3,#5A3A1E,14,circle|small|vertical|orange,"{15,3,12,14}",3,3,14,circle|small|vertical|orange,1,1,33,0,1,1,1,1,2,3,3,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:04.801+00,43613,599,41,3,4,#5A3A1E,14,circle|small|vertical|orange,"{4,15,13,14}",3,3,14,circle|small|vertical|orange,1,1,34,0,1,1,1,1,2,2,4,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:05.643+00,44454,489,42,3,5,#5A3A1E,14,circle|small|vertical|orange,"{0,9,6,14}",3,3,14,circle|small|vertical|orange,1,1,35,0,1,1,1,1,3,2,2,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:06.659+00,45471,665,43,3,6,#5A3A1E,14,circle|small|vertical|orange,"{12,14,0,1}",1,1,14,circle|small|vertical|orange,1,1,36,0,1,1,1,1,3,1,2,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:07.684+00,46496,673,44,3,7,#5A3A1E,14,circle|small|vertical|orange,"{14,4,10,13}",0,0,14,circle|small|vertical|orange,1,1,37,0,1,1,1,1,3,2,3,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:08.718+00,47530,682,45,3,8,#5A3A1E,14,circle|small|vertical|orange,"{10,14,13,15}",1,1,14,circle|small|vertical|orange,1,1,38,0,1,1,1,1,2,3,3,4,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:09.993+00,48804,922,46,3,9,#5A3A1E,14,circle|small|vertical|orange,"{6,15,4,14}",3,3,14,circle|small|vertical|orange,1,1,39,0,1,1,1,1,3,3,4,2,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:10.943+00,49754,599,47,3,10,#5A3A1E,14,circle|small|vertical|orange,"{5,8,14,13}",2,2,14,circle|small|vertical|orange,1,1,40,0,1,1,1,1,2,1,3,3,
local-cc9j9qhh,,,eigen-dynamics-1.0.0::local-cc9j9qhh,eigen-dynamics-1.0.0,1,deterministic,2026-09-12 22:52:11.926+00,50738,632,48,3,11,#5A3A1E,14,circle|small|vertical|orange,"{2,14,9,6}",1,1,14,circle|small|vertical|orange,1,1,41,0,1,1,1,1,3,3,2,2,
